,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
0,"10 predictions for stocks, crypto, AI, gold and bonds in 2024",https://www.marketwatch.com/story/10-predictions-for-stocks-crypto-ai-gold-and-bonds-in-2024-b4820631,20240110T001900,['Cody Willard'],Here's what hedge-fund manager Cody Willard expects for the financial markets this year.,https://images.mktw.net/im-94893836/social,MarketWatch,Top Stories,www.marketwatch.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.996023'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}, {'topic': 'Blockchain', 'relevance_score': '0.310843'}]",-0.090309,Neutral,"[{'ticker': 'MSFT', 'relevance_score': '0.194632', 'ticker_sentiment_score': '-0.128524', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.098054', 'ticker_sentiment_score': '-0.054338', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AVGO', 'relevance_score': '0.146618', 'ticker_sentiment_score': '-0.075675', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.194632', 'ticker_sentiment_score': '-0.035443', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'F', 'relevance_score': '0.098054', 'ticker_sentiment_score': '-0.157779', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'UPST', 'relevance_score': '0.146618', 'ticker_sentiment_score': '-0.057838', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COIN', 'relevance_score': '0.146618', 'ticker_sentiment_score': '-0.133391', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PLTR', 'relevance_score': '0.146618', 'ticker_sentiment_score': '-0.057838', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.241924', 'ticker_sentiment_score': '-0.064606', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.04912', 'ticker_sentiment_score': '-0.018747', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:DOGE', 'relevance_score': '0.098054', 'ticker_sentiment_score': '-0.019997', 'ticker_sentiment_label': 'Neutral'}]"
1,"Podcast Market size to grow by USD 15.70 billion from 2023 to 2028, the market is fragmented due to the presence of ... - PR Newswire",https://www.prnewswire.com/news-releases/podcast-market-size-to-grow-by-usd-15-70-billion-from-2023-to-2028--the-market-is-fragmented-due-to-the-presence-of-prominent-companies-like-audacy-inc-apple-inc-and-acast-and-many-more---technavio-302030219.html,20240110T000000,[],"Podcast Market size to grow by USD 15.70 billion from 2023 to 2028, the market is fragmented due to the presence of ... PR ...",,PR Newswire,n/a,www.prnewswire.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.224864,Somewhat-Bullish,"[{'ticker': 'GOOG', 'relevance_score': '0.088799', 'ticker_sentiment_score': '0.010393', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.088799', 'ticker_sentiment_score': '0.010393', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'IHRT', 'relevance_score': '0.088799', 'ticker_sentiment_score': '0.010393', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SPOT', 'relevance_score': '0.088799', 'ticker_sentiment_score': '0.010393', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ADBMF', 'relevance_score': '0.088799', 'ticker_sentiment_score': '0.010393', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SIRI', 'relevance_score': '0.088799', 'ticker_sentiment_score': '0.010393', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AUDA', 'relevance_score': '0.088799', 'ticker_sentiment_score': '0.010393', 'ticker_sentiment_label': 'Neutral'}]"
2,"Podcast Market size to grow by USD 15.70 billion from 2023 to 2028, the market is fragmented due to the presence of prominent companies like Audacy Inc., Apple Inc., and Acast, and many more - Technavio",https://www.benzinga.com/pressreleases/24/01/n36568311/podcast-market-size-to-grow-by-usd-15-70-billion-from-2023-to-2028-the-market-is-fragmented-due-to,20240110T000000,['PRNewswire'],"NEW YORK, Jan. 9, 2024 /PRNewswire/ -- The podcast market is estimated to grow by USD 15.70 billion from 2023 to 2028, growing at a CAGR of 29.08%. The podcast market is fragmented owing to the presence of many global and regional companies.",https://www.benzinga.com/next-assets/images/schema-image-default.png,Benzinga,General,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.31345,Somewhat-Bullish,"[{'ticker': 'GOOG', 'relevance_score': '0.046724', 'ticker_sentiment_score': '0.009892', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.139534', 'ticker_sentiment_score': '0.008574', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'IHRT', 'relevance_score': '0.046724', 'ticker_sentiment_score': '0.009892', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SPOT', 'relevance_score': '0.046724', 'ticker_sentiment_score': '0.009892', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ADBMF', 'relevance_score': '0.046724', 'ticker_sentiment_score': '0.009892', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SIRI', 'relevance_score': '0.046724', 'ticker_sentiment_score': '0.009892', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AUDA', 'relevance_score': '0.093289', 'ticker_sentiment_score': '0.035711', 'ticker_sentiment_label': 'Neutral'}]"
3,Apple  ( AAPL )  Declines More Than Market: Some Information for Investors,https://www.zacks.com/stock/news/2207773/apple-aapl-declines-more-than-market-some-information-for-investors,20240109T224520,['Zacks Equity Research'],"Apple (AAPL) concluded the recent trading session at $185.14, signifying a -0.23% move from its prior day's close.",https://staticx-tuner.zacks.com/images/default_article_images/default347.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.976913'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",0.185201,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.523451', 'ticker_sentiment_score': '0.274333', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
4,Should iShares Russell Top 200 ETF  ( IWL )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2207723/should-ishares-russell-top-200-etf-iwl-be-on-your-investing-radar,20240109T215420,['Zacks Equity Research'],Style Box ETF report for ...,https://staticx-tuner.zacks.com/images/default_article_images/default323.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.139056,Neutral,"[{'ticker': 'BLK', 'relevance_score': '0.064797', 'ticker_sentiment_score': '0.050033', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.129168', 'ticker_sentiment_score': '0.06419', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.129168', 'ticker_sentiment_score': '0.06419', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.129168', 'ticker_sentiment_score': '0.06419', 'ticker_sentiment_label': 'Neutral'}]"
5,Stock Market Today: Stocks Take a Breather After Tech-Fueled Rally,https://www.kiplinger.com/investing/stocks/stock-market-today-stocks-take-a-breather-after-tech-fueled-rally,20240109T210927,['Karee Venema'],"Stocks opened lower Tuesday as market participants took some profits following Monday's monstrous rally. However, the main indexes ended well off their session lows. The Nasdaq Composite rallied 2.2% to start the week, easily outpacing the still-noteworthy gains of 1.2% for the S&P 500 and 0.6% ...",https://cdn.mos.cms.futurecdn.net/Yuowq25hpANinmVACLNQLi-415-80.jpg,Kiplinger,n/a,www.kiplinger.com,"[{'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.890401'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.158519'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.451494'}]",0.148244,Neutral,"[{'ticker': 'NVDA', 'relevance_score': '0.146916', 'ticker_sentiment_score': '0.081198', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.146916', 'ticker_sentiment_score': '0.081198', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.146916', 'ticker_sentiment_score': '0.081198', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNPR', 'relevance_score': '0.146916', 'ticker_sentiment_score': '0.152058', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WFC', 'relevance_score': '0.073773', 'ticker_sentiment_score': '-0.076156', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.218817', 'ticker_sentiment_score': '0.392362', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MS', 'relevance_score': '0.218817', 'ticker_sentiment_score': '0.392362', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'HPQ', 'relevance_score': '0.073773', 'ticker_sentiment_score': '0.120638', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HPE', 'relevance_score': '0.218817', 'ticker_sentiment_score': '0.07097', 'ticker_sentiment_label': 'Neutral'}]"
6,"These seven companies are worth as much as all the stocks trading in Canada, Japan and the U.K. combined",https://www.marketwatch.com/story/these-seven-companies-are-worth-as-much-as-all-the-stocks-trading-in-canada-japan-and-the-u-k-combined-db2019c7,20240109T194400,['Joseph Adinolfi'],A group of seven of the most valuable U.S.-traded companies is dominating the global equity market landscape.,https://images.mktw.net/im-68509549?width=700&height=390,MarketWatch,Top Stories,www.marketwatch.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.94762'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.361292,Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.391923', 'ticker_sentiment_score': '0.414135', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.102013', 'ticker_sentiment_score': '0.126252', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.299478', 'ticker_sentiment_score': '0.249584', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.202366', 'ticker_sentiment_score': '0.319919', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.299478', 'ticker_sentiment_score': '0.367415', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.299478', 'ticker_sentiment_score': '0.323273', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BRK-A', 'relevance_score': '0.102013', 'ticker_sentiment_score': '0.284098', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
7,This Apple Analyst Deep Dives Into Latest App Store Data - Apple  ( NASDAQ:AAPL ) ,https://www.benzinga.com/analyst-ratings/analyst-color/24/01/36558994/this-apple-analyst-deep-dives-into-latest-app-store-data,20240109T193130,['Priya Nigam'],"Shares of Apple Inc AAPL have been in focus ahead of the company's inaugural mixed-reality headset, Vision Pro, hitting stores in February. SensorTower data showed Apple's App Store revenues growing to $6.7 billion in the first quarter of fiscal 2024, representing 2% year-on-year growth, ...",https://cdn.benzinga.com/files/images/story/2024/01/09/apple_shutter.jpg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}]",0.129351,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '0.841282', 'ticker_sentiment_score': '0.383874', 'ticker_sentiment_label': 'Bullish'}]"
8,Amazon Challenges Apple and Google with New Cross-Platform Video Streaming Feature - Amazon.com  ( NASDAQ:AMZN ) ,https://www.benzinga.com/news/24/01/36560548/amazon-challenges-apple-and-google-with-new-cross-platform-video-streaming-feature,20240109T184844,['Anusuya Lahiri'],"Amazon.com Inc AMZN Amazon.com shares are trading higher. The company has launched Matter Casting. This new feature rivals Apple Inc's AAPL AirPlay and offers cross-platform compatibility, enabling iPhone and Android users to stream videos wirelessly to Amazon's TV devices.",https://cdn.benzinga.com/files/images/story/2024/01/09/amazon_prime_video_streaming_40845733273.jpg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",0.183188,Somewhat-Bullish,"[{'ticker': 'GOOG', 'relevance_score': '0.432291', 'ticker_sentiment_score': '0.337263', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.432291', 'ticker_sentiment_score': '0.236893', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.682689', 'ticker_sentiment_score': '0.369264', 'ticker_sentiment_label': 'Bullish'}]"
9,Meta says it will restrict content for teens amid mounting criticism and AG lawsuit,https://www.marketwatch.com/story/meta-says-it-will-restrict-content-for-teens-amid-mounting-criticism-and-ag-lawsuit-9107b034,20240109T184700,['Jon Swartz'],"Meta has faced a torrent of condemnation over the effects of its content on younger users, prompting Salesforce CEO Marc Benioff and others to compare the social-media giant to Big Tobacco, and rival Apple Inc. to blast Meta's data-privacy policies.",https://images.mktw.net/im-82991501/social,MarketWatch,Top Stories,www.marketwatch.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",-0.344455,Somewhat-Bearish,"[{'ticker': 'META', 'relevance_score': '0.664235', 'ticker_sentiment_score': '-0.507954', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'AAPL', 'relevance_score': '0.25168', 'ticker_sentiment_score': '-0.338308', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
