,index,date,hour,holidays,n_weekday,n_hour,open,high,low,close,adj_close,volume,dividends,stock_splits,source10_x,source9_x,source8_x,source7_x,source6_x,source5_x,source4_x,source3_x,source2_x,source1_x,source10_y,source9_y,source8_y,source7_y,source6_y,source5_y,source4_y,source3_y,source2_y,source1_y,feature_close,feature_open,feature_high,feature_low,feature_volume,feature_source10_x,feature_source9_x,feature_source8_x,feature_source7_x,feature_source6_x,feature_source5_x,feature_source4_x,feature_source3_x,feature_source2_x,feature_source1_x,feature_source10_y,feature_source9_y,feature_source8_y,feature_source7_y,feature_source6_y,feature_source5_y,feature_source4_y,feature_source3_y,feature_source2_y,feature_source1_y,position,real_position,portfolio_valuation,Asset_value,Money_fiat,reward
0,3,2022-04-06,07:00:00,0,2,7,173.33,173.35,172.5,172.68,172.68,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,100.0,100.0,0.0,0
1,4,2022-04-06,08:00:00,0,2,8,172.69,175.23,172.0,172.62,172.62,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003475238957651775,-0.003699212356640446,0.01078672458929524,-0.002902759657961351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.96525364836693,99.96525364836693,0.0,-0.03474635163307482
2,5,2022-04-06,09:00:00,0,2,9,172.360000610352,173.139999389648,171.020004272461,171.130004882812,171.130004882812,21718850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362349,0.0,0.0,0.0,0.0,0.0,-0.008669116669387114,-0.0019127633077949482,-0.0119988844578934,-0.005713943103413964,0.0,0.0,0.0,0.0,0.0,0.082549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362349,0.0,0.0,0.0,0.0,0.0,1,1.0,99.10238874381051,99.10238874381051,0.0,-0.8628649045564174
3,6,2022-04-06,10:00:00,0,2,10,171.130004882812,171.580001831055,170.130004882812,170.835006713867,170.835006713867,11354344.0,0.0,0.0,0.412861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.203831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017253124273997299,-0.007161786166659157,-0.009050871445887738,-0.005217654315517101,-0.6485801450890006,0.412861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.203831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,98.93155357532255,98.93155357532255,0.0,-0.17083516848795455
4,7,2022-04-06,11:00:00,0,2,11,170.839996337891,171.740005493164,170.490005493164,170.975006103516,170.975006103516,7839538.0,0.0,0.0,0.023372666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.03541933333333334,0.0,0.0,0.02769366666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002643333333333333,0.0,0.0,0.0008191649877293634,-0.0016961055847580931,0.0009320964131414943,0.0021137968024777776,-0.37042049792748044,0.023372666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.03541933333333334,0.0,0.0,0.02769366666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002643333333333333,0.0,0.0,1,1.0,99.0126280423419,99.0126280423419,0.0,0.08107446701934862
5,8,2022-04-06,12:00:00,0,2,12,170.970001220703,171.710006713867,170.871505737305,171.710006713867,171.710006713867,5695053.0,0.0,0.0,0.0,0.0,0.1083018,0.069632,0.0,0.0,0.0,0.0,0.0167548,0.0,0.0,0.0,-0.040990000000000006,0.04078040000000001,0.0,0.0,0.0,0.0,0.0001192,0.0,0.0042896637432912445,0.000760685117518225,-0.00017469080394285984,0.002235169404989627,-0.31958200078955945,0.0,0.0,0.1083018,0.069632,0.0,0.0,0.0,0.0,0.0167548,0.0,0.0,0.0,-0.040990000000000006,0.04078040000000001,0.0,0.0,0.0,0.0,0.0001192,0.0,1,1.0,99.43827120330495,99.43827120330495,0.0,0.4256431609630482
6,9,2022-04-06,13:00:00,0,2,13,171.720001220703,173.410003662109,170.929992675781,171.380004882812,171.380004882812,11187310.0,0.0,0.0,0.357894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019237046936305896,0.004377140810158059,0.009851707502923584,0.00034222751695568287,0.6751821969515616,0.357894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.24716520894833,99.24716520894833,0.0,-0.19110599435661868
7,10,2022-04-06,14:00:00,0,2,14,171.369995117188,173.630004882812,171.339996337891,171.669998168945,171.669998168945,11178009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016906768845903716,-0.0020403172850902204,0.0012678725493144327,0.002395792043607109,-0.0008317342163720706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.4151020204685,99.4151020204685,0.0,0.16793681152016404
8,11,2022-04-06,15:00:00,0,2,15,171.675003051758,172.910003662109,171.509994506836,171.600006103516,171.600006103516,9910809.0,0.0,0.0,0.14738980000000002,0.0089906,0.0,0.1291946,0.0,0.1337982,0.0,0.0,0.0,0.0,-0.007636199999999998,0.0213678,0.0,0.024549599999999998,0.0,0.039648,0.0,0.0,0.0,0.0,-0.00040779599456879545,0.0017782391031557303,-0.004155377382007453,0.0009916767531934778,-0.12032238627778476,0.14738980000000002,0.0089906,0.0,0.1291946,0.0,0.1337982,0.0,0.0,0.0,0.0,-0.007636199999999998,0.0213678,0.0,0.024549599999999998,0.0,0.039648,0.0,0.0,0.0,0.0,0,0.0,99.37456920518646,0.0,99.37456920518646,-0.04053281528203456
9,12,2022-04-06,16:00:00,0,2,16,171.58,171.99,171.2,171.33,171.33,9910809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015747012772549577,-0.0005535421382888539,-0.005334913507574962,-0.0018090782081041366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,99.37456920518646,0.0,99.37456920518646,0.0
